id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,NA
2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,150,30,48,0.33,3,338,
3831,"Whole flr w/private bdrm, bath & kitchen(pls read)",4869,LisaRoxanne,Brooklyn,Bedford-Stuyvesant,40.68494,-73.95765,Entire home/apt,75,1,409,4.86,1,194,
5121,BlissArtsSpace!,7356,Garon,Brooklyn,Bedford-Stuyvesant,40.68535,-73.95512,Private room,60,30,50,0.52,2,365,
5136,"Spacious Brooklyn Duplex, Patio + Garden",7378,Rebecca,Brooklyn,Sunset Park,40.66265,-73.99454,Entire home/apt,275,5,2,0.02,1,123,
5178,Large Furnished Room Near B'wayã€€,8967,Shunichi,Manhattan,Midtown,40.76457,-73.98317,Private room,68,2,507,3.68,1,192,
5203,Cozy Clean Guest Room - Family Apt,7490,MaryEllen,Manhattan,Upper West Side,40.8038,-73.96751,Private room,75,2,118,0.87,1,0,
5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,Laurie,Brooklyn,South Slope,40.66801,-73.98784,Private room,98,4,204,1.48,3,322,
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,89,30,181,1.24,1,179,
6872,Uptown Sanctuary w/ Private Bath (Month to Month),16104,Kae,Manhattan,East Harlem,40.80107,-73.94255,Private room,65,30,0,0.7487066474,2,365,
6990,UES Beautiful Blue Room,16800,Cyn,Manhattan,East Harlem,40.78778,-73.94759,Private room,62,30,234,1.82,1,309,
7064,"Amazing location! Wburg. Large, bright & tranquil",17297,Joelle,Brooklyn,Williamsburg,40.71248,-73.95881,Private room,90,27,9,0.07,2,271,
7097,Perfect for Your Parents:  Privacy + Garden,17571,Jane,Brooklyn,Fort Greene,40.69121,-73.97277,Entire home/apt,199,2,280,3.05,2,334,
7750,2 Furnished bedrooms next to Central Park,17985,Sing,Manhattan,East Harlem,40.79607,-73.94949,Private room,96,30,0,0.7487066474,2,178,
7801,Sweet and Spacious Brooklyn Loft,21207,Chaya,Brooklyn,Williamsburg,40.71778,-73.9568,Entire home/apt,299,30,9,0.06,1,365,
8490,"Maison des Sirenes1,bohemian, luminous apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68462,-73.93839,Entire home/apt,140,2,139,1.17,2,332,
9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,175,30,58,0.55,1,0,
9657,Modern 1 BR / NYC / East Village,21904,Dana,Manhattan,East Village,40.72712,-73.98598,Entire home/apt,175,10,43,0.75,1,65,
