id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6872,Uptown Sanctuary w/ Private Bath (Month to Month),16104,Kae,Manhattan,East Harlem,40.80107,-73.94255,Private room,65,30,0,,,2,365
7750,2 Furnished bedrooms next to Central Park,17985,Sing,Manhattan,East Harlem,40.79607,-73.94949,Private room,96,30,0,,,2,178
11943,Country space in the city,45445,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,30,0,,,1,0
45935,Room in Beautiful Townhouse.,204586,L,Bronx,Mott Haven,40.80635,-73.92201,Private room,60,30,0,,,1,83
51438,1 Bedroom in 2 Bdrm Apt- Upper East,236421,Jessica,Manhattan,Upper East Side,40.77449,-73.95308,Private room,130,14,0,,,2,0
54466,Beautiful Uptown Manhattan apartmnt,253385,Douglas,Manhattan,Harlem,40.80255,-73.95803,Private room,200,30,0,,,1,365
63588,LL3,295128,Carol Gloria,Bronx,Clason Point,40.81161,-73.85499,Private room,89,30,0,,,6,315
64015,Prime East Village 1 Bedroom,146944,David,Manhattan,East Village,40.72863,-73.9842,Entire home/apt,200,30,0,,,1,0
68253,Room in the heart of Astoria,67730,Boris,Queens,Astoria,40.76336,-73.92099,Private room,55,30,0,,,1,0
113092,Rm in Beautiful Luxury Apt. Bldg,575906,San,Brooklyn,Fort Greene,40.6905,-73.97867,Private room,90,30,0,,,1,0
149287,Your own apartment off Park Avenue,720320,Nancy,Manhattan,Upper East Side,40.78422,-73.95133,Entire home/apt,250,30,0,,,1,0
149787,Full Floor Brownstone,722242,Nicholas,Manhattan,Harlem,40.81862,-73.94518,Entire home/apt,100,30,0,,,1,365
152071,Park Slope Apartment,731855,Wendy,Brooklyn,Park Slope,40.67231,-73.97878,Entire home/apt,150,2,0,,,1,0
169483,Very close to Downtown Awesome Private Apartment,807642,Jeffrey,Brooklyn,Gravesend,40.60602,-73.97076,Entire home/apt,110,7,0,,,2,0
200645,Best Manhattan Studio Deal!,933378,Edo,Manhattan,Upper East Side,40.76739,-73.9557,Shared room,90,30,0,,,1,0
237210,Manhattan Loft in Prime East Village Location,1243192,Jacqueline,Manhattan,Greenwich Village,40.73268,-73.99213,Entire home/apt,275,30,0,,,1,63
239826,"Amazing 1 bed, live like a Newyorkr",1257760,Jay,Manhattan,Gramercy,40.73685,-73.9828,Entire home/apt,295,30,0,,,1,0
244649,"Upper West: Large room, one block to Subway!",1283659,Kurt,Manhattan,Upper West Side,40.79824,-73.96863,Private room,50,2,0,,,1,0
250537,The Lenox in Harlem,1313306,Yvette,Manhattan,Harlem,40.81128,-73.9433,Entire home/apt,400,30,0,,,2,365
283072,One bedroom sharing Bathroom,1474637,Eliza,Brooklyn,Cypress Hills,40.68048,-73.86541,Private room,89,30,0,,,1,0
292637,Beautiful Spacious One Bedroom,1021834,Svetlana,Brooklyn,Crown Heights,40.67452,-73.96174,Entire home/apt,100,30,0,,,1,0
299062,1 Bdrm in 2 Bdrm Apt in Upper East Lux Drmn Bldng,236421,Jessica,Manhattan,Upper East Side,40.77433,-73.95339,Private room,120,30,0,,,2,0
311316,Welcome to Harlem New York,1601454,Conrad,Manhattan,Harlem,40.80193,-73.95098,Private room,149,30,0,,,2,358
408491,Charming West Village One Bedroom,2034361,Marshall,Manhattan,West Village,40.73633,-73.99925,Entire home/apt,145,30,0,,,1,0
425643,Amazing Views Over Central Park,2116067,Jesselyn,Manhattan,Upper West Side,40.79634,-73.96454,Entire home/apt,400,30,0,,,1,335
468613,$1300 5/14 - 6/1 - 3 weeks - room f,2325861,Cynthia,Manhattan,Lower East Side,40.72152,-73.99279,Private room,1300,30,0,,,1,0
474283,Studio apartment by Columbus Circle,950232,Deborah,Manhattan,Hell's Kitchen,40.76425,-73.98475,Entire home/apt,118,30,0,,,1,0
494296,Brooklyn waterfront large sunny apt,2442340,Maddy,Brooklyn,Cobble Hill,40.68705,-74.00002,Private room,75,30,0,,,1,0
499763,PinkBerry Room w Bath In Heart Of Hells Kitchen,361254,Kyra,Manhattan,Hell's Kitchen,40.76448,-73.98667,Private room,60,90,0,,,1,362
514548,BIG Light-Filled Loft Apartment & Art Studio,2533991,Amanda,Brooklyn,Bushwick,40.69775,-73.92615,Entire home/apt,115,30,0,,,1,329
544039,Luxury 2-bdrm w Piano & Gym,2674637,Greta,Brooklyn,Sunset Park,40.64445,-74.00279,Entire home/apt,120,30,0,,,1,0
548184,Cozy Room in GREENPOINT Apt. YeY,2694253,Yonatan,Brooklyn,Greenpoint,40.72515,-73.95153,Private room,199,30,0,,,1,0
593000,Cozy 1BD Manhattan close Central Pk,2927446,,Manhattan,Upper East Side,40.77287,-73.94667,Entire home/apt,100,30,12,10/24/2014,0.11,1,0
594732,Greenwich Village Skylit 1BR +deck!,2938302,Chris,Manhattan,Greenwich Village,40.73532,-73.99506,Entire home/apt,334,30,0,,,1,95
622410,"Great room in 2BR, Bright + Cozy!",1563352,Evelina,Brooklyn,Crown Heights,40.66718,-73.95848,Private room,88,30,0,,,1,0
627949,COMFY-CUTE-N-CLEAN APT in WBURG,585879,Armando,Brooklyn,Williamsburg,40.71542,-73.93821,Entire home/apt,180,30,0,,,1,0
637426,Great 1br East Village Apartment,1993811,Elon,Manhattan,East Village,40.72299,-73.98838,Entire home/apt,160,14,0,,,1,0
